Comment,Tag
আমি অপমানিত বোধ না,sadness
আমি যে কেউ যত্নশীল এবং সচেতন থাকি এমন একজনের চারপাশে থাকা থেকে এত হতাশার অনুভূতি থেকে যেতে পারি,sadness
আমি একটি মিনিট পোস্ট করার জন্য একটি মিনিট grabbing আমি লোভী ভুল মনে,anger
আমি কখনও ফায়ারপ্লেস সম্পর্কে nostalgic অনুভব করছি আমি এখনও এটি এখনও সম্পত্তি আছে,love
আমি grouchy অনুভব করছি,anger
ive একটি সামান্য বোঝা অনুভব করা হয়েছে সম্প্রতি কেন ছিল যে কেন ছিল,sadness
আমি একটি কিশোর হিসাবে জীবন বা একটি বছর বয়সী হিসাবে জেড হিসাবে জীবন সম্পর্কে বিভ্রান্ত মনে,fear
আমি petronas সঙ্গে হয়েছে বছর ধরে আমি মনে করি Petronas ভাল সঞ্চালিত হয়েছে এবং একটি বিশাল মুনাফা তৈরি করেছে,happy
আমি খুব রোমান্টিক মনে,love
আমি মনে করি আমি কষ্ট ভোগ করতে চাই আমি কিছু মানে,sadness
আমি মনে করি যে চলমান একটি ঐশ্বরিক অভিজ্ঞতা এবং আমি কিছু ধরনের আধ্যাত্মিক মুখোমুখি হওয়ার আশা করতে পারি,happy
আমি মনে করি এটি বছরের সবচেয়ে সহজ সময় অসন্তুষ্ট বোধ,anger
আমি কম শক্তি আমি শুধু তৃষ্ণার্ত মনে,sadness
আমি সাধারণ বিন্দু সঙ্গে অসাধারণ সহানুভূতি আছে কিন্তু একটি সম্ভাব্য প্রোটো লেখক জীবনের কোণে লিখতে সময় খুঁজে পেতে চেষ্টা এবং একটি এজেন্টের কোন চিহ্ন একা একা একটি প্রকাশক চুক্তি আছে একটি সামান্য মূল্যবান মনে হয়,happy
আমি reassured উদ্বেগ প্রতিটি পাশে মনে হয় না,happy
আমি সত্যিই যে বিব্রত বোধ না,sadness
আমি বেশিরভাগ সময় চমত্কার দয়ালু বোধ,sadness
আমি একটি শিশু হিসাবে ছিল পুতুল সম্পর্কে অনুভূতি অনুভূতি শুরু এবং তাই Sixties থেকে মদ বার্বি পুতুল একটি সংগ্রহ শুরু,sadness
আমি এখন আমি যে কাজের প্রতিটি ইউনিটের মূল্যের সাথে আপোসযুক্ত এবং সন্দেহজনক মনে করি,fear
আমি বিরক্ত এবং কেউ কিছু না বা কিছু বলার ছাড়া প্রত্যাখ্যাত বোধ,anger
আমি পুরোপুরি হতাশ বোধ করছি আমার দুটি কৌশল রয়েছে যা আমাকে আমার জার্নাল আমার কাছে একটি চিঠি রূপের আকারে আমার হৃদয়কে ঢেলে দিতে সাহায্য করে এবং তারপরে পাঁচটি জিনিসের তালিকা দিয়ে শেষ হয় আমি সবচেয়ে কৃতজ্ঞ,fear
আমি অনুভূতি এবং আনন্দিত ছিল অনুভূতি আছে,happy
